PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-01000,28,2,1,0,1,1,3,1,2,2447.1,6672,8,9,1000,1,485,N,2,2,2,2,70,70
25-01000,30,1,1,0,1,1,3,1,2,2447.1,2190,4,9,98000,8,485,N,2,2,2,2,81,70
25-00503,28,1,6,0,1,0,N,1,2,2872.7,4972,6,9,66500,7,501,N,2,2,2,2,86,85
25-00503,28,2,6,0,1,0,N,1,2,2872.7,5090,6,9,105000,8,501,N,2,2,2,2,82,85
25-00703,80,1,1,0,1,0,2,1,2,2195.3,N,N,9,17300,3,258,4,2,2,2,2,29,29
25-00703,81,2,1,0,1,0,2,1,2,2195.3,N,N,5,22400,3,258,N,2,2,2,2,25,29
25-02800,42,2,1,0,1,3,5,1,1,3683.9,8370,13,10,41000,5,501,N,2,2,2,2,98,98
25-02800,44,1,1,0,1,3,5,1,1,3683.9,2190,4,12,180000,9,501,N,2,2,2,2,83,98
25-00503,29,1,1,4,1,2,4,1,1,2872.7,9680,17,7,50000,6,195,N,2,2,2,2,121,122
25-00503,34,2,1,0,6,2,4,1,1,2872.7,8660,14,8,0,0,195,N,2,2,2,2,107,122
25-02800,74,1,6,0,1,0,N,1,1,3683.9,N,N,5,83300,7,501,N,2,2,2,2,57,58
25-00703,39,1,2,1,1,0,N,1,2,2195.3,3380,4,9,85000,8,501,N,2,2,2,2,105,105
25-00503,91,1,3,0,1,0,N,1,1,2872.7,7870,11,12,230500,9,501,N,2,2,1,2,109,109
25-00703,61,1,1,0,1,1,3,1,1,2195.3,9570,16,7,430000,9,501,N,2,2,2,2,65,64
25-00703,61,2,1,0,1,1,3,1,1,2195.3,8564,14,9,0,0,501,N,2,2,2,2,66,64
25-02800,48,1,1,0,2,3,5,1,2,3683.9,6180,7,8,49800,6,164,N,2,2,2,2,196,196
25-02800,36,2,1,0,2,3,5,1,2,3683.9,9920,18,5,0,0,164,N,2,2,2,2,181,196
25-01000,54,1,1,0,1,1,3,1,1,2447.1,4870,6,4,52000,6,415,N,2,2,2,2,123,123
25-01000,54,2,1,0,1,1,3,1,1,2447.1,8970,15,5,33000,4,415,N,2,2,2,2,100,123
25-02800,66,1,4,0,1,0,N,1,2,3683.9,6670,8,8,100000,8,501,N,2,2,2,2,97,97
25-00503,87,1,3,0,1,0,N,1,2,2872.7,N,N,12,36300,5,297,N,2,2,2,2,137,137
25-00703,66,2,1,0,1,0,2,1,1,2195.3,8090,12,10,109200,8,501,N,2,2,2,2,99,99
25-00703,67,1,1,0,1,0,2,1,1,2195.3,6280,7,7,14000,3,501,N,2,1,2,2,92,99
25-01300,57,1,1,0,1,0,2,1,2,1457.2,9590,16,9,125150,9,501,N,2,2,2,2,185,185
25-01300,65,2,1,0,1,0,2,1,2,1457.2,8170,12,10,21400,3,501,N,1,2,2,2,169,185
25-01300,24,1,6,4,1,0,N,1,2,1457.2,7460,10,9,100000,8,501,N,2,2,2,2,238,238
25-00703,29,2,6,0,1,0,N,1,2,2195.3,7860,11,10,70000,7,501,N,2,2,2,2,116,115
25-00703,29,1,6,0,1,0,N,1,2,2195.3,7380,10,9,100000,8,501,N,2,2,2,2,117,115
25-00703,56,1,4,0,1,0,N,1,2,2195.3,N,N,3,11400,2,86,N,2,2,2,2,140,139
25-00503,32,1,6,0,1,0,N,1,1,2872.7,7870,11,9,7300,2,55,N,2,2,2,2,68,68
25-00503,29,2,6,0,1,0,N,1,1,2872.7,6290,7,9,4000,1,30,N,2,2,2,2,64,68
25-00703,78,1,4,0,1,0,2,1,2,2195.3,2870,4,5,86000,8,501,N,2,2,2,2,59,60
25-00703,43,1,6,0,1,0,2,1,2,2195.3,8270,12,5,30000,4,501,N,2,2,2,2,77,60
25-01000,28,1,6,0,1,0,N,1,1,2447.1,8180,12,10,65000,7,492,N,2,2,2,2,59,59
25-01000,27,2,6,0,1,0,N,1,1,2447.1,8191,12,9,75000,7,501,N,2,2,2,2,61,59
25-02800,44,2,5,0,1,2,3,1,1,3683.9,5070,6,9,6000,1,29,N,2,2,2,2,104,105
25-02800,16,2,6,0,1,2,3,1,1,3683.9,N,N,4,0,0,29,N,2,2,2,2,109,105
25-02800,50,1,1,0,1,0,2,1,1,3683.9,6991,9,8,140000,9,501,N,2,2,2,2,121,120
25-02800,50,2,1,0,6,0,2,1,1,3683.9,7380,10,8,45000,5,501,N,2,2,2,2,64,120
25-00503,74,1,1,0,1,0,2,1,1,2872.7,N,N,5,9100,2,175,N,2,2,2,1,48,48
25-00503,74,2,1,0,1,0,2,1,1,2872.7,N,N,4,17700,3,175,N,2,2,2,2,51,48
25-00703,64,2,1,0,1,0,2,1,1,2195.3,7670,10,9,0,0,501,N,2,2,2,2,83,84
25-00703,62,1,1,0,1,0,2,1,1,2195.3,7670,10,9,100000,8,501,N,2,2,2,2,82,84
25-00503,40,2,6,0,1,0,N,1,2,2872.7,8370,13,10,60000,6,456,N,2,2,2,2,68,68
25-00503,78,1,1,0,6,0,2,1,1,2872.7,N,N,9,46400,5,447,N,2,2,2,2,45,45
25-00503,73,2,1,0,6,0,2,1,1,2872.7,N,N,5,21600,3,447,N,2,2,2,2,50,45
25-00703,30,1,6,1,1,0,N,1,1,2195.3,9770,17,9,9000,2,68,N,2,2,2,2,90,91
25-00703,65,2,1,0,1,0,2,1,1,2195.3,5170,6,7,90000,8,501,N,2,2,2,2,89,90
25-00703,58,1,1,0,1,0,2,1,1,2195.3,N,N,9,250,1,501,N,2,2,2,2,97,90
25-00503,68,1,1,0,1,0,3,1,1,2872.7,7860,11,7,41700,5,318,N,2,2,2,2,41,41
25-00503,69,2,1,0,1,0,3,1,1,2872.7,8191,12,7,11400,2,318,N,2,2,2,2,44,41
25-00503,32,1,6,0,1,0,3,1,1,2872.7,5275,6,6,9500,2,318,N,2,2,2,2,61,41
25-00703,72,1,1,0,1,0,2,1,1,2195.3,6970,9,9,91500,8,501,N,2,2,2,2,45,45
25-00703,71,2,1,0,1,0,2,1,1,2195.3,N,N,8,24500,4,501,N,2,2,2,2,49,45
25-00703,65,2,1,0,1,0,2,1,1,2195.3,7670,10,7,23200,3,501,N,2,2,2,2,34,34
25-00703,66,1,1,0,1,0,2,1,1,2195.3,770,3,5,55000,6,501,N,2,2,2,2,32,34
25-00703,46,1,1,0,1,2,5,1,1,2195.3,770,3,7,58000,6,501,N,2,2,2,2,48,47
25-00703,46,2,1,0,1,2,5,1,1,2195.3,4795,6,9,250000,9,501,N,2,2,2,2,47,47
25-00703,19,2,6,0,1,2,5,1,1,2195.3,8680,14,7,20000,3,501,N,2,2,2,2,69,47
25-00703,17,1,6,0,1,2,5,1,1,2195.3,N,N,4,0,0,501,N,2,2,2,2,41,47
25-00703,15,2,6,0,1,2,5,1,1,2195.3,N,N,3,0,0,501,N,2,2,2,2,40,47
25-01000,82,1,1,0,1,0,2,1,1,2447.1,7270,10,11,622000,9,501,N,2,2,2,2,92,93
25-01000,80,2,1,0,1,0,2,1,1,2447.1,N,N,9,21000,3,501,N,2,2,2,2,91,93
25-02800,62,1,4,0,1,0,N,1,2,3683.9,770,3,5,70000,7,501,N,2,2,2,2,53,52
25-00503,71,1,1,0,1,0,2,1,1,2872.7,6870,9,10,213500,9,501,N,2,2,2,2,48,47
25-00503,67,2,1,0,1,0,2,1,1,2872.7,6870,9,5,650800,9,501,N,2,2,2,2,52,47
25-01000,38,2,6,0,1,1,2,1,1,2447.1,6770,8,10,50000,6,286,N,2,2,2,2,130,130
25-02800,74,1,1,0,6,0,4,1,2,3683.9,N,N,4,4600,1,212,N,2,2,2,2,137,136
25-02800,65,2,1,0,6,0,4,1,2,3683.9,N,N,2,8100,2,212,N,2,2,2,2,185,136
25-02800,25,1,6,0,6,0,4,1,2,3683.9,5070,6,5,25000,4,212,N,2,2,2,2,161,136
25-02800,23,2,6,0,6,0,4,1,2,3683.9,5070,6,9,18000,3,212,N,2,2,2,2,120,136
25-01300,49,1,1,0,1,2,4,1,1,1457.2,3291,4,10,90800,8,360,N,2,2,2,2,78,78
25-01300,54,2,1,0,1,2,4,1,1,1457.2,7860,11,9,450,1,360,N,2,2,2,2,69,78
25-01300,15,2,6,0,1,2,4,1,1,1457.2,N,N,4,900,1,360,N,2,2,2,2,82,78
25-02800,58,2,6,0,1,0,N,1,1,3683.9,8090,12,9,125000,9,501,N,2,2,2,2,101,101
25-02800,58,1,4,0,1,0,N,1,1,3683.9,N,N,7,31200,4,237,N,2,2,2,2,103,101
25-02800,23,1,6,0,1,0,N,1,1,3683.9,4980,6,5,20000,3,152,N,2,2,2,2,103,101
25-00503,40,2,1,0,6,2,4,1,2,2872.7,4971,6,9,24000,4,186,N,2,2,2,2,528,529
25-00503,45,1,1,0,6,2,4,1,2,2872.7,4972,6,5,24000,4,186,N,2,2,2,2,401,529
25-00503,17,2,6,0,6,2,4,1,2,2872.7,N,N,4,0,0,186,N,2,2,2,2,447,529
25-00703,47,1,6,0,1,1,4,1,1,2195.3,7860,11,9,76000,7,501,N,2,2,2,2,69,70
25-00703,46,2,6,0,1,1,4,1,1,2195.3,5080,6,8,75000,7,501,N,2,2,2,2,70,70
25-00703,19,1,6,0,1,1,4,1,1,2195.3,8680,14,7,1600,1,501,N,2,2,2,2,59,70
25-00703,74,2,4,0,1,1,4,1,1,2195.3,770,3,5,63400,7,501,N,2,1,2,2,77,70
25-00703,47,1,1,0,1,4,6,1,1,2195.3,7380,10,9,627200,9,501,N,2,2,2,2,108,107
25-00703,41,2,1,0,1,4,6,1,1,2195.3,8590,14,9,38260,5,501,N,2,2,2,2,116,107
25-01300,75,2,3,0,1,0,2,1,1,1457.2,N,N,7,54600,6,501,N,2,2,2,2,42,42
25-01300,49,1,6,0,1,0,2,1,1,1457.2,7080,9,9,40000,5,501,N,2,2,2,2,69,42
25-00703,43,2,1,0,1,2,4,1,1,2195.3,6490,8,9,250000,9,501,N,2,2,2,2,115,114
25-00703,46,1,1,0,1,2,4,1,1,2195.3,6890,9,7,60000,6,501,N,2,2,2,2,107,114
25-01000,31,1,6,0,1,0,N,1,2,2447.1,3291,4,9,70000,7,501,N,2,2,2,2,68,68
25-00703,60,2,4,0,1,0,N,1,1,2195.3,7860,11,10,85020,8,501,N,2,2,2,2,99,99
25-00703,70,2,4,0,1,0,N,1,2,2195.3,N,N,7,11480,2,94,N,2,2,2,2,68,68
25-00703,78,1,1,0,1,0,2,1,1,2195.3,8080,12,12,200700,9,501,N,2,2,2,1,98,98
25-00703,71,2,1,0,1,0,2,1,1,2195.3,7390,10,9,120800,8,501,N,2,2,2,2,96,98
25-00703,79,2,3,0,1,0,N,1,1,2195.3,N,N,5,28500,4,234,N,2,2,2,2,91,91
25-01300,55,2,1,0,1,0,3,1,1,1457.2,7380,10,10,15000,3,501,N,2,2,2,2,67,67
25-01300,57,1,1,0,1,0,3,1,1,1457.2,4270,5,10,181000,9,501,N,2,2,2,2,66,67
25-01300,20,2,6,0,1,0,3,1,1,1457.2,8680,14,5,0,0,501,N,2,2,2,2,94,67
25-02800,41,1,1,0,1,3,5,1,1,3683.9,7870,11,10,100000,8,501,N,2,2,2,2,47,47
25-02800,41,2,1,0,6,3,5,1,1,3683.9,7970,12,11,200000,9,501,N,2,2,2,2,52,47
25-00703,28,2,6,0,1,0,N,1,2,2195.3,7870,11,7,6000,1,45,N,2,2,2,2,76,77
25-00703,26,1,6,0,1,0,N,1,2,2195.3,8790,15,6,2120,1,16,N,2,2,2,2,76,77
25-00703,61,2,4,0,1,0,N,1,2,2195.3,N,N,8,12300,2,92,N,2,1,2,2,98,98
25-02800,51,1,1,0,1,0,2,1,1,3683.9,3980,4,9,207000,9,501,N,2,2,2,2,96,96
25-02800,50,2,1,0,1,0,2,1,1,3683.9,8870,15,5,45000,5,501,N,2,2,2,2,86,96
25-00703,58,2,4,0,1,0,N,1,1,2195.3,N,N,7,15400,3,117,N,1,2,2,2,112,112
25-01300,64,2,3,0,1,0,2,1,2,1457.2,6470,8,5,33000,4,349,N,2,2,2,2,64,64
25-01300,34,1,6,0,1,0,2,1,2,1457.2,6880,9,5,26000,4,349,N,2,2,2,2,85,64
25-01300,40,2,1,0,1,2,4,1,1,1457.2,N,N,9,0,0,501,N,2,2,2,2,82,81
25-01300,39,1,1,0,1,2,4,1,1,1457.2,5080,6,9,627000,9,501,N,2,2,2,2,82,81
25-00703,55,1,6,0,1,0,N,1,2,2195.3,8270,12,5,9950,2,76,N,2,2,2,2,81,81
25-01000,50,2,1,0,1,0,2,1,1,2447.1,7860,11,10,62000,6,501,N,2,2,2,2,98,97
25-01000,54,1,1,0,1,0,2,1,1,2447.1,7770,10,5,52000,6,501,N,2,2,2,2,107,97
25-01300,59,2,6,0,8,0,N,1,1,1457.2,6991,9,11,101000,8,501,N,2,2,2,2,61,62
25-00503,67,2,4,0,1,0,N,1,2,2872.7,7460,10,10,62000,6,501,N,2,2,2,2,52,53
25-00503,65,2,3,0,1,0,N,1,1,2872.7,8191,12,9,28500,4,236,N,2,2,2,2,52,52
25-01300,29,1,6,0,1,0,N,1,1,1457.2,7380,10,9,75000,7,501,N,2,2,2,2,108,108
25-01300,28,2,6,0,1,0,N,1,1,1457.2,6870,9,9,65000,7,494,N,2,2,2,2,117,108
25-00703,36,1,1,0,1,2,4,1,1,2195.3,6490,8,10,217700,9,501,2,2,2,2,2,67,66
25-00703,36,2,1,0,1,2,4,1,1,2195.3,7670,10,9,55000,6,501,N,2,2,2,2,62,66
25-02800,68,2,3,0,1,0,N,1,1,3683.9,9480,16,10,90000,8,501,N,2,2,2,2,202,201
25-00703,72,2,4,0,1,0,N,1,2,2195.3,7580,10,4,37800,5,313,N,2,2,2,2,62,62
25-01300,25,2,2,0,1,0,N,1,2,1457.2,7380,10,9,5000,1,37,N,2,2,2,2,205,204
25-01300,61,2,3,0,1,0,N,1,1,1457.2,7970,12,7,12300,2,94,N,2,2,2,2,137,137
25-01300,58,1,1,0,1,0,2,1,1,1457.2,7290,10,10,210000,9,501,N,2,2,2,2,93,92
25-01300,52,2,1,0,1,0,2,1,1,1457.2,580,2,8,130000,9,501,N,2,2,2,2,86,92
25-00703,28,2,6,0,1,2,3,1,2,2195.3,5790,6,7,13000,2,64,N,2,2,2,2,67,67
25-01300,48,1,1,0,1,0,2,1,1,1457.2,770,3,5,50000,6,474,N,2,2,2,2,109,109
25-01300,52,2,1,0,1,0,2,1,1,1457.2,8680,14,5,30000,4,474,N,2,2,2,2,95,109
25-02800,60,1,1,0,1,0,4,1,1,3683.9,770,3,9,151350,9,501,N,2,2,2,2,87,87
25-02800,57,2,1,0,1,0,4,1,1,3683.9,8191,12,6,24800,4,501,N,2,2,2,2,85,87
25-02800,35,1,4,0,1,0,4,1,1,3683.9,7370,10,9,93040,8,501,N,2,2,2,2,100,87
25-02800,29,1,6,0,1,0,4,1,1,3683.9,770,3,12,19600,3,501,N,2,2,2,2,97,87
25-02800,30,2,6,0,1,0,4,1,1,3683.9,7860,11,9,47300,5,360,N,2,2,2,2,130,87
25-01000,60,2,1,0,1,0,5,1,1,2447.1,8561,14,4,58000,6,501,N,2,2,2,2,59,60
25-01000,65,1,1,0,1,0,5,1,1,2447.1,3590,4,5,80200,7,501,N,2,2,2,2,46,60
25-01000,43,2,4,0,1,0,5,1,1,2447.1,6370,7,4,41000,5,501,N,2,2,2,2,90,60
25-01000,64,1,4,0,1,0,5,1,1,2447.1,4880,6,5,29000,4,501,N,2,1,2,2,87,60
25-01000,45,1,4,0,1,0,5,1,1,2447.1,2270,4,5,27000,4,501,N,2,2,2,2,70,60
25-01000,53,2,6,0,1,0,N,1,1,2447.1,7390,10,7,58000,6,443,N,2,2,2,2,80,80
25-01000,37,1,6,0,1,0,N,1,1,2447.1,4690,6,10,0,0,0,N,2,2,2,2,141,141
25-00503,43,1,1,0,1,2,4,1,2,2872.7,9680,17,10,118500,8,460,N,2,2,2,2,36,35
25-00503,38,2,1,0,1,2,4,1,2,2872.7,N,N,9,0,0,460,N,2,2,2,2,38,35
25-02800,58,1,1,0,1,0,2,1,1,3683.9,3990,4,1,108000,8,501,N,2,2,2,2,115,115
25-02800,62,2,1,0,1,0,2,1,1,3683.9,8191,12,10,75000,7,501,N,2,2,2,2,112,115
25-00703,21,2,6,0,1,0,N,1,2,2195.3,8680,14,5,10000,2,76,N,2,2,2,2,89,88
25-00703,22,1,6,0,1,0,N,1,2,2195.3,3390,4,9,30000,4,229,N,2,2,2,2,93,88
25-00703,22,2,6,0,1,0,N,1,2,2195.3,7870,11,7,5000,1,38,N,2,2,2,2,100,88
25-00503,52,2,4,0,1,0,N,1,2,2872.7,7970,12,5,45800,5,349,N,2,2,2,2,93,93
25-01000,79,2,6,4,8,0,N,1,2,2447.1,N,N,12,3600,1,29,N,2,2,2,2,149,149
25-00703,66,2,4,0,1,1,2,1,2,2195.3,N,N,10,19500,3,111,N,1,2,2,2,29,29
25-00703,17,2,6,0,6,1,2,1,2,2195.3,N,N,4,0,0,111,N,2,2,2,2,29,29
25-00703,59,2,4,0,1,0,N,1,2,2195.3,9090,15,5,2100,1,16,N,2,2,2,1,53,54
25-00703,48,2,4,0,1,0,N,1,2,2195.3,1990,4,5,36000,5,275,N,2,2,2,2,55,54
25-02800,68,1,1,0,1,0,2,1,2,3683.9,N,N,10,21100,3,501,N,1,1,2,2,148,148
25-02800,56,2,1,0,1,0,2,1,2,3683.9,8680,14,4,62000,6,501,N,2,2,2,2,134,148
25-00703,60,2,6,0,1,0,N,1,1,2195.3,7460,10,7,98000,8,501,N,2,2,2,2,97,96
25-01000,49,1,4,0,1,0,2,1,2,2447.1,N,N,7,51800,6,305,5,1,1,2,2,203,202
25-01000,19,1,6,0,1,0,2,1,2,2447.1,N,N,7,0,0,305,N,2,2,2,2,197,202
25-01000,19,1,6,1,1,0,2,1,2,2447.1,5391,6,5,28000,4,212,N,2,2,2,2,210,202
25-02800,44,2,4,4,9,0,N,1,1,3683.9,7380,10,10,353000,9,501,N,2,2,2,2,90,90
25-02800,42,2,6,0,1,0,N,1,1,3683.9,8590,14,12,1000,1,7,N,2,2,2,2,91,90
25-01000,63,2,4,0,1,0,N,1,1,2447.1,9380,16,9,80000,7,501,N,2,2,2,2,114,113
25-00503,62,1,1,0,1,0,2,1,1,2872.7,8590,14,7,47140,5,279,N,2,2,2,2,64,63
25-00503,56,2,1,0,1,0,2,1,1,2872.7,N,N,7,270,1,279,N,2,2,2,2,50,63
25-01300,42,1,1,0,1,4,6,1,1,1457.2,7790,10,11,230000,9,501,N,2,2,2,2,72,71
25-01300,40,2,1,0,6,4,6,1,1,1457.2,N,N,9,5500,1,501,N,2,2,2,2,74,71
25-01000,61,1,6,0,1,0,N,1,1,2447.1,3960,4,7,65550,7,501,N,2,2,2,2,113,113
25-02800,59,1,1,0,1,0,4,1,1,3683.9,N,N,5,35400,5,501,N,2,2,2,2,100,100
25-02800,57,2,1,0,1,0,4,1,1,3683.9,4770,6,5,62000,6,501,N,2,2,2,2,97,100
25-02800,28,2,6,0,1,0,4,1,1,3683.9,8191,12,9,65000,7,501,N,2,2,2,2,121,100
25-02800,24,1,6,0,1,0,4,1,1,3683.9,7380,10,9,100000,8,501,N,2,2,2,2,98,100
25-00503,45,1,1,0,1,2,4,1,1,2872.7,8080,12,12,161000,9,501,N,2,2,2,2,70,70
25-00503,45,2,1,0,1,2,4,1,1,2872.7,9170,15,9,55000,6,501,N,2,2,2,2,58,70
25-01000,65,1,1,0,1,0,2,1,1,2447.1,6970,9,9,639000,9,501,N,2,2,2,2,103,103
25-01000,65,2,1,0,1,0,2,1,1,2447.1,5080,6,9,0,0,501,N,2,2,2,2,117,103
25-02800,45,2,4,0,1,1,2,1,1,3683.9,7380,10,9,160000,9,501,N,2,2,2,2,66,66
25-00503,40,1,1,0,1,2,4,1,1,2872.7,9470,16,9,118000,8,501,N,2,2,2,2,172,172
25-00503,40,2,1,0,1,2,4,1,1,2872.7,6991,9,5,60000,6,501,N,2,2,2,2,181,172
25-00703,67,1,1,0,1,0,2,1,2,2195.3,N,N,7,10700,2,150,N,2,2,2,2,47,47
25-00703,67,2,1,0,1,0,2,1,2,2195.3,N,N,7,12100,2,150,N,2,1,2,2,51,47
25-00703,50,2,1,0,1,2,4,1,1,2195.3,7860,11,10,112000,8,501,N,2,2,2,2,70,70
25-00703,56,1,1,0,1,2,4,1,1,2195.3,7071,9,8,70000,7,501,N,2,2,2,2,67,70
25-00703,17,1,6,0,1,2,4,1,1,2195.3,8590,14,4,3700,1,501,N,2,2,2,2,54,70
25-01300,40,2,1,0,2,2,4,1,1,1457.2,7860,11,10,55000,6,501,N,2,2,2,2,191,191
25-01300,40,1,1,0,2,2,4,1,1,1457.2,3490,4,9,100000,8,501,N,2,2,2,2,130,191
25-01300,54,2,1,0,1,0,3,1,1,1457.2,6970,9,7,94000,8,501,N,2,2,2,2,89,90
25-01300,62,1,1,0,1,0,3,1,1,1457.2,6370,7,7,84140,7,501,2,2,2,2,1,98,90
25-01300,24,1,6,0,1,0,3,1,1,1457.2,7680,10,5,25000,4,501,N,2,2,2,2,111,90
25-00703,61,2,1,2,8,0,2,1,2,2195.3,1480,4,7,20300,3,501,N,2,2,2,2,193,194
25-00703,62,1,1,2,8,0,2,1,2,2195.3,6390,7,5,78000,7,501,N,2,2,2,2,223,194
25-00703,35,2,1,0,1,0,2,1,1,2195.3,7860,11,10,56000,6,501,N,2,2,2,2,70,70
25-00703,35,1,1,0,1,0,2,1,1,2195.3,3390,4,7,90000,8,501,N,2,2,2,2,75,70
25-00703,79,1,1,0,1,0,2,1,1,2195.3,N,N,12,93000,8,501,N,2,2,2,2,73,73
25-00703,81,2,1,0,1,0,2,1,1,2195.3,N,N,11,19600,3,501,N,2,2,2,2,65,73
25-01300,65,1,1,0,1,0,2,1,1,1457.2,2290,4,10,200000,9,501,N,2,2,2,2,46,46
25-01300,61,2,1,0,1,0,2,1,1,1457.2,7390,10,9,125000,9,501,N,2,2,2,2,54,46
25-00703,58,1,1,0,1,1,3,1,2,2195.3,8770,15,5,70000,7,501,N,2,2,2,2,67,68
25-00703,55,2,1,0,1,1,3,1,2,2195.3,8290,12,9,70000,7,501,N,2,2,2,2,70,68
25-00703,16,1,6,0,1,1,3,1,2,2195.3,N,N,4,0,0,501,N,2,2,2,2,56,68
25-02800,57,1,4,0,1,0,4,1,2,3683.9,7280,10,8,66600,7,262,N,2,2,2,2,101,100
25-02800,30,2,4,0,1,0,4,1,2,3683.9,6670,8,5,360,1,262,N,2,2,2,2,153,100
25-01000,70,1,1,0,1,0,2,1,1,2447.1,7390,10,9,124100,9,501,N,2,2,2,2,79,79
25-01000,62,2,1,0,1,0,2,1,1,2447.1,8680,14,9,26700,4,501,N,2,2,2,2,100,79
25-00703,58,2,1,0,1,0,2,1,1,2195.3,7370,10,8,28000,4,501,N,2,2,2,2,114,114
25-00703,61,1,1,0,1,0,2,1,1,2195.3,3680,4,9,120000,8,501,N,2,2,2,2,112,114
25-02800,67,1,1,0,1,0,2,1,1,3683.9,7460,10,9,264000,9,501,N,2,2,2,2,65,66
25-02800,66,2,1,0,1,0,2,1,1,3683.9,6870,9,5,34000,4,501,N,1,1,2,2,60,66
25-00703,61,1,1,0,1,0,2,1,1,2195.3,7290,10,9,193000,9,501,N,2,2,2,2,25,24
25-00703,60,2,1,0,1,0,2,1,1,2195.3,7860,11,10,62000,6,501,N,2,2,2,2,25,24
25-00703,48,2,1,0,1,2,4,1,1,2195.3,8191,12,9,100000,8,408,N,2,2,2,2,51,51
25-00703,67,1,1,0,1,2,4,1,1,2195.3,8191,12,7,5300,1,408,N,2,2,2,2,48,51
25-00703,38,2,4,0,1,1,2,1,1,2195.3,8191,12,10,80000,7,455,N,2,2,2,2,54,54
25-01300,47,2,1,0,6,0,2,1,1,1457.2,6695,8,10,105000,8,501,N,2,2,2,2,86,86
25-01300,47,1,1,0,1,0,2,1,1,1457.2,7390,10,9,106000,8,501,N,2,2,2,2,95,86
25-02800,33,1,1,0,1,0,2,1,1,3683.9,5593,6,10,270000,9,501,N,2,2,2,2,99,99
25-02800,34,2,1,0,1,0,2,1,1,3683.9,7380,10,10,95000,8,501,N,2,2,2,2,88,99
25-00703,62,1,1,0,1,0,3,1,1,2195.3,7390,10,9,50000,6,501,N,2,2,2,2,113,113
25-00703,58,2,1,0,1,0,3,1,1,2195.3,7860,11,10,88000,8,501,N,2,2,2,2,114,113
25-00703,24,2,6,0,1,0,3,1,1,2195.3,7460,10,9,60000,6,501,N,2,2,2,2,146,113
25-01300,53,2,4,0,1,2,3,1,1,1457.2,2190,4,7,125000,9,501,N,2,2,2,2,47,47
25-00503,49,2,4,0,1,0,N,1,1,2872.7,9090,15,9,53400,6,408,N,2,2,2,2,102,102
25-00703,45,1,1,0,1,0,2,1,1,2195.3,6970,9,10,85000,8,501,N,2,2,2,2,52,51
25-00703,46,2,1,0,1,0,2,1,1,2195.3,8191,12,9,50000,6,501,N,2,2,2,2,50,51
25-00503,64,1,6,0,1,0,N,1,1,2872.7,9090,15,7,1700,1,12,N,2,2,2,2,146,146
25-02800,42,2,1,0,1,2,4,1,1,3683.9,6870,9,9,120000,8,501,N,2,2,2,2,77,77
25-02800,43,1,1,0,1,2,4,1,1,3683.9,9470,16,8,60000,6,501,N,2,2,2,2,67,77
25-01000,87,2,3,0,1,0,N,1,1,2447.1,N,N,5,5000,1,41,N,2,2,2,2,69,70
25-02800,29,2,6,0,6,0,N,1,2,3683.9,5170,6,9,41300,5,311,N,2,2,2,2,91,90
25-01000,35,2,1,0,1,2,4,1,1,2447.1,6970,9,9,105000,8,501,N,2,2,2,2,131,130
25-01000,36,1,1,0,1,2,4,1,1,2447.1,8191,12,11,67000,7,501,N,2,2,2,2,131,130
25-00703,41,2,1,0,1,2,4,1,1,2195.3,8370,13,9,15600,3,501,N,2,2,2,2,64,64
25-00703,46,1,1,0,1,2,4,1,1,2195.3,7970,12,9,627000,9,501,N,2,2,2,2,60,64
25-00503,49,1,1,0,6,2,4,1,1,2872.7,6870,9,10,350000,9,501,N,2,2,2,2,54,55
25-00503,46,2,1,0,6,2,4,1,1,2872.7,7980,12,11,200000,9,501,N,2,2,2,2,58,55
25-00503,17,2,6,0,6,2,4,1,1,2872.7,7890,11,4,1000,1,501,N,2,2,2,2,62,55
25-01300,62,1,2,0,1,0,3,1,1,1457.2,4880,6,7,50000,6,501,N,2,2,2,2,71,71
25-01300,29,1,6,0,1,0,3,1,1,1457.2,7680,10,5,12000,2,501,N,2,2,2,2,86,71
25-01300,22,2,6,0,1,0,3,1,1,1457.2,8191,12,9,50000,6,501,N,2,2,2,2,79,71
25-00503,48,2,1,0,1,3,5,1,1,2872.7,7870,11,12,20000,3,501,N,2,2,2,2,94,94
25-00503,44,1,1,0,6,3,5,1,1,2872.7,7460,10,12,415000,9,501,N,2,2,2,2,118,94
25-00503,32,2,1,0,1,2,4,1,2,2872.7,7390,10,9,90000,8,466,N,2,2,2,2,78,78
25-00503,32,1,1,0,1,2,4,1,2,2872.7,8690,14,7,29000,4,466,N,2,2,2,2,90,78
25-01300,86,1,3,0,1,0,N,1,2,1457.2,N,N,9,84000,7,501,N,2,1,2,1,96,96
25-00703,86,2,3,0,1,0,N,1,1,2195.3,N,N,5,81900,7,501,N,2,2,2,1,135,135
25-02800,76,1,1,0,1,0,2,1,1,3683.9,N,N,5,79400,7,501,N,2,2,2,1,71,71
25-02800,75,2,1,0,1,0,2,1,1,3683.9,N,N,5,12500,2,501,N,2,2,2,2,69,71
25-01300,44,1,4,0,1,0,N,1,2,1457.2,770,3,9,180000,9,501,N,2,2,2,2,59,59
